Pos,ccs_x,ccs_y,ccs_z,ac_x,ac_y,ac_z
1,-0.3282717168331146,-0.031007615849375725,-1.5240000486373901,0.7958484272844784,0.3642713554581271,0.351059588307071
2,0.06676376610994339,-0.03326792269945145,-1.5120000839233398,0.795851619450513,0.36430351703643726,-0.04299380152544376
3,0.4632927477359772,-0.035701408982276917,-1.5090000629425049,0.7958319120450699,0.36426288474351626,-0.43708988073129557
4,0.46293559670448303,0.10726495087146759,-1.5160000324249268,0.9396790277089802,0.3643168257950088,-0.4370692620898043
5,0.4649849534034729,0.2528744637966156,-1.531000018119812,1.0835096381647547,0.3642671161434087,-0.43707649574475343
6,0.06795597076416016,0.25419580936431885,-1.5390000343322754,1.0834959491469507,0.364233106954131,-0.0430600971764705
7,-0.3270263969898224,0.25924739241600037,-1.5540000200271606,1.0834913300743223,0.3642687062833161,0.3510696316210033
8,-0.32556572556495667,0.11115186661481857,-1.5350000858306885,0.9396695410963738,0.36424496389434835,0.3510662635305869
9,0.06694038212299347,0.10977604240179062,-1.5160000324249268,0.939682488034296,0.36429147053654826,-0.042994311081948615
11,-0.3298097252845764,-0.021866142749786377,-1.4220000505447388,0.7958353132552167,0.2642414624430321,0.3510401337030479
12,0.06500319391489029,-0.02417043037712574,-1.4190000295639038,0.7958341705785834,0.26425014284618187,-0.04299828499727549
13,0.46152421832084656,-0.028728840872645378,-1.412000060081482,0.7958520282924157,0.26428422045889455,-0.43708243531514074
14,0.4656939208507538,0.11792515963315964,-1.4320000410079956,0.9396967740344815,0.2642701124042519,-0.4370562508261066
15,0.46882691979408264,0.26333168148994446,-1.4490001201629639,1.0835016418546934,0.26428827205875505,-0.43708485355027243
16,0.06651489436626434,0.26387685537338257,-1.4520000219345093,1.0835021981781576,0.26431072317021265,-0.042998771571794034
17,-0.3318360149860382,0.2681158185005188,-1.4620000123977661,1.083499646344593,0.2642298992330375,0.3510504710782001
18,-0.32808008790016174,0.12054913491010666,-1.4350000619888306,0.9396644881878384,0.26426814465335824,0.351061133225623
19,0.06573614478111267,0.11817221343517303,-1.4350000619888306,0.9396647684489328,0.2642621404958332,-0.04299804099441481
21,-0.33415931463241577,-0.013904907740652561,-1.3360000848770142,0.79585090201413,0.16429944470191138,0.3510390627998753
22,0.062460508197546005,-0.015876559540629387,-1.3160001039505005,0.7958251390983659,0.16430545437480895,-0.04301582563432719
23,0.45996731519699097,-0.020113160833716393,-1.308000087738037,0.7958208661246433,0.1642682679318261,-0.43709951751510256
24,0.46539628505706787,0.1277230679988861,-1.3360000848770142,0.9396810429925617,0.1642974831365694,-0.43707705309159905
25,0.46838799118995667,0.2723751962184906,-1.3510000705718994,1.0835004708950413,0.16428414332573887,-0.4370923359824949
26,0.06650255620479584,0.2729800045490265,-1.3540000915527344,1.0835118994649888,0.1643105490611378,-0.0429965262152847
27,-0.33243638277053833,0.27562928199768066,-1.3560000658035278,1.0834911834254435,0.1642669899385511,0.3510103358239801
28,-0.33418452739715576,0.13168664276599884,-1.3540000915527344,0.9396669259562618,0.16428094613621147,0.3510892737425873
29,0.06383691728115082,0.12858346104621887,-1.3450000286102295,0.9396545605758555,0.1642826078672226,-0.04299414375943498
