Pos,ccs_x,ccs_y,ccs_z,ac_x,ac_y,ac_z
1,-0.33064115047454834,0.03631654009222984,1.5350000858306885,0.7958402789697654,0.3642881577284993,0.35105408215716494
2,0.06396656483411789,0.03560677170753479,1.505000114440918,0.795854977061234,0.3642741572038045,-0.042997642867582064
3,0.460798054933548,0.04070039093494415,1.5090000629425049,0.7958287888642295,0.3642975167271329,-0.43708334343068445
4,0.4592144191265106,-0.10447747260332108,1.5120000839233398,0.9396633137698756,0.364280184219963,-0.4370905221227844
5,0.46285897493362427,-0.24666959047317505,1.5240000486373901,1.0835314466169144,0.36424898668721184,-0.4370583169368058
6,0.07050029188394547,-0.24909743666648865,1.5390000343322754,1.0835208289978007,0.36429793605485294,-0.04298030362267206
7,-0.32696276903152466,-0.25606149435043335,1.5660001039505005,1.0835009365477202,0.36428016882116,0.35105435602087537
8,-0.3272624909877777,-0.10917534679174423,1.5430001020431519,0.9396782103742605,0.3642288198757737,0.35108238074141923
9,0.06711701303720474,-0.10503026098012924,1.5200001001358032,0.9396704707836505,0.36429464323155364,-0.043013440476546656
11,-0.3290708065032959,0.026707742363214493,1.4290000200271606,0.795842090262181,0.26428353883906913,0.35103862276431186
12,0.0652780532836914,0.02899334207177162,1.4250000715255737,0.7958415442058104,0.2643162659207843,-0.042974021362920424
13,0.46287301182746887,0.031001653522253036,1.409000039100647,0.7958257142330691,0.2642554632058107,-0.4370889851805893
14,0.4679703414440155,-0.11373451352119446,1.4390000104904175,0.9396667120943254,0.2642543560610785,-0.4371031171448229
15,0.4675326645374298,-0.2602112293243408,1.4450000524520874,1.0835069273420874,0.2642852116917008,-0.4370799132772533
16,0.06891538947820663,-0.25906670093536377,1.4520000219345093,1.0834978688006132,0.2642778386574072,-0.04303586243690237
17,-0.32784172892570496,-0.26442205905914307,1.4550000429153442,1.0834903836336445,0.2642842878283531,0.3510490884561867
18,-0.3273942172527313,-0.11555320769548416,1.4320000410079956,0.939665123739637,0.26428770693153397,0.3510948372083574
19,0.06605680286884308,-0.116360142827034,1.4420000314712524,0.9396478447606655,0.264285812625548,-0.043026104176385915
21,-0.33140799403190613,0.01817985437810421,1.3250000476837158,0.7958475864155958,0.16429487599801307,0.3511006735196151
22,0.06298258900642395,0.020405324175953865,1.3270000219345093,0.795835745749288,0.16425528833663697,-0.04298728926346665
23,0.4638355076313019,0.02246708609163761,1.319000005722046,0.7958488641588994,0.1642589065646833,-0.43707734489600386
24,0.4686550199985504,-0.12357405573129654,1.3390001058578491,0.9396729615844741,0.16428574005220015,-0.4370828481627667
25,0.46942809224128723,-0.27073726058006287,1.3540000915527344,1.083511852334337,0.16428770998888576,-0.437071126791481
26,0.06635520607233047,-0.26789960265159607,1.3510000705718994,1.0834973506805046,0.1642391803080467,-0.043041759653475856
27,-0.33311665058135986,-0.2735365927219391,1.3680000305175781,1.0835043515618823,0.16423479602997526,0.3510706184221863
28,-0.3304823338985443,-0.12579196691513062,1.3390001058578491,0.9396674354261645,0.16428846228667848,0.3510650889605346
29,0.06635520607233047,-0.1246815100312233,1.3510000705718994,0.9396723806084155,0.1643011756209782,-0.04299664404160814
