Pos,ccs_x,ccs_y,ccs_z,ac_x,ac_y,ac_z
1,0.7067142315208914,0.32818660140037537,-0.002000083923339835,-0.40606316112395796,0.0356892663583539,-0.7958376595749714
2,0.7044217586517336,-0.06396656483411789,0.00499988555908204,-0.012013047406191926,0.03571697460195228,-0.7958486904425597
3,0.6994360275566579,-0.4595766067504883,0.00499988555908204,0.3820855301332777,0.03572455083349768,-0.795838574144053
4,0.8472205996513368,-0.46042928099632263,-0.006000032424926749,0.38212067118186216,0.03572810857512804,-0.9396382740625284
5,0.9920774549245837,-0.46607860922813416,-0.03300010204315185,0.38208253984467455,0.035699817523780375,-1.0835036006198586
6,0.9914498925209048,-0.06541164964437486,-0.029000034332275382,-0.011976128303151264,0.035716085840681255,-1.083489473522633
7,0.995743051171303,0.32874712347984314,-0.04000007152557372,-0.4060257333513437,0.03574747799511668,-1.0835001999676852
8,0.8502579778432848,0.3257521986961365,-0.014000048637390128,-0.40607336529672705,0.0357038294234443,-0.9396821118007546
9,0.8477336391806605,-0.06477411091327667,-0.014000048637390128,-0.011985933807661789,0.035749319338879926,-0.9396566528354982
11,0.7142546921968462,0.3298247754573822,0.09799993991851808,-0.4060752963880135,0.135735043966434,-0.795840042275689
12,0.7118349522352221,-0.06248063966631889,0.09499991893768311,-0.011997035244421528,0.13571586776904182,-0.7958305581957119
13,0.7097488194704057,-0.4572385549545288,0.103999981880188,0.38212277700617764,0.1357384086903332,-0.7958111993120627
14,0.8551025167107583,-0.4591203033924103,0.0909999704360962,0.38206393756941465,0.13569105201209947,-0.9396908546508114
15,1.0013311207294464,-0.4664313793182373,0.06099987983703614,0.3820967008838747,0.13571517843393527,-1.083494508803091
16,1.0013311207294466,-0.06398194283246995,0.06099987983703614,-0.012004518591278095,0.1357724409653842,-1.0835089938080176
17,1.0060076117515566,0.3342530131340027,0.047999987602233896,-0.40602793491512873,0.1357285711702363,-1.0834894709782827
18,0.858437351882458,0.32976165413856506,0.0779999589920044,-0.4060287651803113,0.13575368128651966,-0.9396701394124656
19,0.8565838783979418,-0.06354037672281265,0.07099998950958253,-0.011996797494329574,0.13573574427199664,-0.9396703226900449
21,0.7231633570045235,0.3320878744125366,0.1909999942779541,-0.4060665303604703,0.2357019792487152,-0.7958359698315214
22,0.7209125719964505,-0.06274528056383133,0.18799997329711915,-0.012001345085578534,0.23570213718266214,-0.7958371469646788
23,0.7189830709248782,-0.45885491371154785,0.19899989128112794,0.38205716515813937,0.23569934600195783,-0.795867752453302
24,0.8629891723394395,-0.4594742953777313,0.1909999942779541,0.3820730690156432,0.23571487818553954,-0.9396854839427535
25,1.0100263059139252,-0.4640842080116272,0.16499997138977052,0.38206353140526056,0.2357370468766047,-1.0835130024713555
26,1.0106062889099123,-0.06175074726343156,0.16199995040893556,-0.011972686706533862,0.23574693382893738,-1.0834909961509442
27,1.0143989622592928,0.33467814326286316,0.15399993419647218,-0.40605477007782764,0.23570157768065295,-1.0835093618011131
28,0.8696720823645594,0.33641037344932556,0.16499997138977052,-0.4060373720157973,0.235738995706257,-0.939678095957553
29,0.8644454479217532,-0.0634097531437874,0.17399991512298585,-0.012023269518464906,0.2356848993097573,-0.9396797563875068
