Pos,ccs_x,ccs_y,ccs_z,ac_x,ac_y,ac_z
1,-0.48439735174179077,-0.05381224676966667,1.193000078201294,0.7558453749866487,0.36426765113272164,0.3510557510957736
2,-0.07720007002353668,-0.05952579900622368,1.190000057220459,0.755842704289901,0.36428716948588763,-0.04298819005401865
3,0.3175102174282074,-0.06307167559862137,1.196000099182129,0.7558303865417385,0.364255363148104,-0.43708391987641565
4,0.3144541382789612,-0.20954179763793945,1.194000005722046,0.8996717381797048,0.36433338379635233,-0.4370675739433839
5,0.31194207072257996,-0.35054779052734375,1.194000005722046,1.0434770582256325,0.3642482488432498,-0.43712456121097737
6,-0.08099115639925003,-0.349879652261734,1.194000005722046,1.0435252238363648,0.3642558354474343,-0.04296354660295893
7,-0.48725274205207825,-0.34753280878067017,1.1890000104904175,1.0434919925774733,0.3642688237211118,0.35106914549085816
8,-0.48677510023117065,-0.20049329102039337,1.193000078201294,0.8996729490452505,0.3642428332028481,0.3510532791864873
9,-0.08070728182792664,-0.2059454619884491,1.194000005722046,0.89964328208987,0.3642707250083771,-0.04303468942898419
11,-0.4802134037017822,-0.054335907101631165,1.1380000114440918,0.7558337952911355,0.3142732637348371,0.3510329436827033
12,-0.07678636908531189,-0.059886250644922256,1.1380000114440918,0.7558579082738505,0.314279066277029,-0.0429968708619051
13,0.3183959424495697,-0.06316310167312622,1.1420000791549683,0.7558470939789118,0.3143120769921154,-0.4370798737534773
14,0.3165951073169708,-0.2094399780035019,1.1420000791549683,0.8996841889172773,0.3142969477645092,-0.4370710482067459
15,0.31399139761924744,-0.3521687686443329,1.1440000534057617,1.0435201642079603,0.3143096278492505,-0.4370507906448325
16,-0.08013701438903809,-0.3511389195919037,1.1370000839233398,1.0435011331530437,0.31424577935505205,-0.043031080006134766
17,-0.48374563455581665,-0.3471691608428955,1.1370000839233398,1.0434898062674605,0.31423903188491314,0.3510947649865086
18,-0.4837070405483246,-0.20378868281841278,1.1380000114440918,0.8996640603559896,0.31429848077213246,0.3510701520116165
19,-0.07713867723941803,-0.20574535429477692,1.1410000324249268,0.899669844405197,0.31429069276107713,-0.04298288635189513
21,-0.4789382517337799,-0.054776713252067566,1.0870000123977661,0.7558363885608096,0.26428082855475826,0.35102074581705434
22,-0.07354886829853058,-0.06019589304924011,1.090000033378601,0.7558335951933189,0.26426924463870893,-0.04302295620068638
23,0.3222348690032959,-0.06343555450439453,1.0940001010894775,0.7558435491820303,0.26429084397071884,-0.43707826982995485
24,0.31717249751091003,-0.20948141813278198,1.0950000286102295,0.8996785955245158,0.2642874118764731,-0.43706983005136046
25,0.3150072991847992,-0.3533734977245331,1.0950000286102295,1.0435014347359184,0.2642681379415338,-0.43709074525647035
26,-0.07992788404226303,-0.3519551753997803,1.0940001010894775,1.0435231887222582,0.26426387885077884,-0.04297190584248499
27,-0.48322799801826477,-0.34957218170166016,1.0870000123977661,1.043501816011284,0.26432960529481503,0.35104033483069447
28,-0.48275598883628845,-0.20352378487586975,1.0880000591278076,0.8996670278088549,0.26428455722813077,0.3510843568569714
29,-0.07668349146842957,-0.2054753452539444,1.0920000076293945,0.8996884551534693,0.26429030975873447,-0.04297861848295141
31,-0.47578513622283936,-0.05495033040642738,1.0360000133514404,0.7558516844642622,0.21429367499808344,0.3510589223975465
32,-0.07267014682292938,-0.059968117624521255,1.037000060081482,0.7558376308616438,0.21430222373390537,-0.043012555807885454
33,0.32091212272644043,-0.06581870466470718,1.0410000085830688,0.7558197223620398,0.21429540576217576,-0.43709779140765026
34,0.3213360011577606,-0.2105497419834137,1.0430001020431519,0.8996708938848587,0.21424964004858282,-0.4370819316404341
35,0.31599122285842896,-0.3525192439556122,1.0410000085830688,1.0435164283661447,0.21428995113623378,-0.4370641315439075
36,-0.07609659433364868,-0.35134366154670715,1.040000081062317,1.0434931072055775,0.2142712839746811,-0.0430410786978369
37,-0.47949495911598206,-0.349403977394104,1.0350000858306885,1.0434986694228419,0.21420903065644098,0.35106303215573137
38,-0.47903305292129517,-0.2020774483680725,1.037000060081482,0.8996703177672412,0.21426806600288037,0.35106599272544686
39,-0.07298056036233902,-0.20636869966983795,1.0390000343322754,0.899683264213604,0.21427745585302782,-0.04298919895433555
